index,filename,label1,score1,label2,score2,label3,score3
0,갈비_골목갈비_1838.jpg,street,0.2545,department store,0.2534,korean palace,0.2455
1,갈비_초량골목갈비_1806.jpg,bakery shop,0.2424,restaurant,0.1984,traditional market,0.1961
2,갈비_초량골목갈비_1807.jpg,bakery shop,0.2259,restaurant,0.2234,traditional market,0.2103
3,갈비_초량골목갈비_1808.jpg,restaurant,0.2224,bakery shop,0.2219,traditional market,0.2167
4,갤러리카페_스타파이브_1066.jpg,restaurant,0.2533,stage theater,0.2459,korean palace,0.243
5,"고궁,궁_경복궁_241.jpg",korean palace,0.2983,Buddhist temple,0.2599,palace,0.2503
6,"고궁,궁_경희궁_264.jpg",korean palace,0.3188,Buddhist temple,0.2538,palace,0.2515
7,"고궁,궁_경희궁_266.jpg",korean palace,0.2096,city park,0.2019,Buddhist temple,0.1957
8,"고궁,궁_용흥궁_1241.jpg",korean palace,0.2998,Buddhist temple,0.2603,traditional market,0.2321
9,"고궁,궁_용흥궁_1242.jpg",korean palace,0.3179,Buddhist temple,0.2731,palace,0.2491
10,"고궁,궁_용흥궁_1243.jpg",museum,0.2344,Buddhist temple,0.2297,fountain,0.2255
11,"고궁,궁_운현궁_267.jpg",korean palace,0.3041,Buddhist temple,0.279,museum,0.2462
12,"고궁,궁_운현궁_268.jpg",korean palace,0.3064,Buddhist temple,0.2789,museum,0.258
13,"고궁,궁_운현궁_269.jpg",korean palace,0.3023,Buddhist temple,0.2633,traditional market,0.245
14,"고궁,궁_창덕궁_244.jpg",korean palace,0.3191,Buddhist temple,0.279,palace,0.2563
15,"고궁,궁_창덕궁_246.jpg",korean palace,0.3041,amusement park,0.2459,palace,0.2424
16,"고궁,궁_화성행궁_759.jpg",korean palace,0.3312,Buddhist temple,0.2833,palace,0.2617
17,공원_동탄호수공원_629.jpg,city park,0.239,botanical garden,0.2317,river,0.2129
18,공원_동탄호수공원_630.jpg,korean palace,0.2744,fountain,0.2455,amusement park,0.2431
19,공원_동탄호수공원_631.jpg,city park,0.2347,river,0.2269,harbor,0.224
20,공원_동호수어린이공원_133.jpg,observation tower,0.2246,trail,0.2233,botanical garden,0.2156
21,공원_동호수어린이공원_134.jpg,korean palace,0.3003,Buddhist temple,0.267,botanical garden,0.246
22,공원_동호수어린이공원_135.jpg,Buddhist temple,0.2556,korean palace,0.2525,restaurant,0.2394
23,공원_왕송호수공원_662.jpg,korean palace,0.2431,botanical garden,0.2421,forest,0.2416
24,공원_은계호수공원_646.jpg,city park,0.2418,korean palace,0.2389,river,0.2324
25,공원_인천대공원 수목원길_1092.jpg,forest,0.2374,botanical garden,0.2257,korean palace,0.2202
26,공원_인천대공원 수목원길_1093.jpg,forest,0.2486,botanical garden,0.2473,observation tower,0.2276
27,공원_인천대공원 수목원길_1094.jpg,korean palace,0.2848,botanical garden,0.2459,zoo,0.2381
28,국수_국수골목 계양점_1361.jpg,traditional market,0.2232,restaurant,0.2198,korean palace,0.2013
29,국수_국수골목 계양점_1362.jpg,restaurant,0.21,bakery shop,0.2066,traditional market,0.2046
30,국수_국수골목 계양점_1363.jpg,restaurant,0.2235,korean palace,0.22,festival,0.2122
31,국수_국수골목 연수점_1379.jpg,korean palace,0.2454,restaurant,0.2275,traditional market,0.2107
32,국수_국수골목 연수점_1380.jpg,bakery shop,0.2555,restaurant,0.2506,pub,0.2334
33,국수_국수골목 연수점_1381.jpg,restaurant,0.2364,traditional market,0.2173,harbor,0.2168
34,냉면_개롱골목냉면_393.jpg,restaurant,0.2206,korean palace,0.2194,traditional market,0.1974
35,냉면_골목냉면 혜화점_405.jpg,korean palace,0.2506,restaurant,0.2465,fountain,0.2144
36,냉면_골목냉면 혜화점_406.jpg,korean palace,0.2409,restaurant,0.2232,traditional market,0.2229
37,냉면_골목냉면 혜화점_407.jpg,restaurant,0.2339,traditional market,0.2228,korean palace,0.2222
