index,filename,label1,score1,label2,score2,label3,score3
38,냉면_골목냉면_380.jpg,korean palace,0.2731,street,0.2437,city park,0.2353
39,냉면_깡통골목 원조비빔당면_1821.jpg,korean palace,0.2406,traditional market,0.2363,gallery,0.2279
40,냉면_깡통골목 원조비빔당면_1822.jpg,traditional market,0.2459,bakery shop,0.2301,department store,0.2266
41,냉면_수택골목냉면_906.jpg,restaurant,0.2361,korean palace,0.2199,traditional market,0.2117
42,냉면_수택골목냉면_907.jpg,restaurant,0.2644,movie theater,0.2401,bakery shop,0.2368
43,도보여행_서서울호수공원 산책길_142.jpg,botanical garden,0.2694,forest,0.2407,city park,0.2331
44,도보여행_서서울호수공원 산책길_143.jpg,river,0.2344,korean palace,0.2215,zoo,0.22
45,도시근린공원_광교호수공원_626.jpg,korean palace,0.2668,city park,0.2537,observation tower,0.2458
46,도시근린공원_광교호수공원_627.jpg,city park,0.2567,korean palace,0.2497,harbor,0.2457
47,도시근린공원_광교호수공원_628.jpg,korean palace,0.2336,observation tower,0.2268,river,0.2256
48,도시근린공원_금광호수공원_652.jpg,korean palace,0.262,observation tower,0.2259,amusement park,0.2179
49,도시근린공원_기흥호수공원_647.jpg,harbor,0.2231,department store,0.222,stadium,0.2211
50,도시근린공원_기흥호수공원_648.jpg,botanical garden,0.2474,city park,0.2424,korean palace,0.2294
51,도시근린공원_기흥호수공원_649.jpg,river,0.2483,observation tower,0.2215,harbor,0.2157
52,도시근린공원_반월호수공원_656.jpg,korean palace,0.2377,zoo,0.2303,stadium,0.2258
53,도시근린공원_반월호수공원_657.jpg,korean palace,0.2637,amusement park,0.248,zoo,0.2304
54,도시근린공원_반월호수공원_658.jpg,korean palace,0.2783,botanical garden,0.2703,Buddhist temple,0.2632
55,도시근린공원_상동호수공원_632.jpg,trail,0.2355,city park,0.2198,amusement park,0.2182
56,도시근린공원_상동호수공원_633.jpg,botanical garden,0.2723,korean palace,0.2451,city park,0.2379
57,도시근린공원_상동호수공원_634.jpg,amusement park,0.2719,botanical garden,0.2538,city park,0.2512
58,도시근린공원_서서울호수공원_127.jpg,river,0.2344,city park,0.2319,botanical garden,0.2289
59,도시근린공원_안산호수공원_638.jpg,city park,0.2546,korean palace,0.2463,botanical garden,0.2457
60,도시근린공원_안산호수공원_639.jpg,festival,0.2274,korean palace,0.2264,stage theater,0.2066
61,도시근린공원_안산호수공원_640.jpg,festival,0.2531,amusement park,0.2436,stage theater,0.2418
62,도시근린공원_오남호수공원_653.jpg,harbor,0.2546,stage theater,0.2478,festival,0.2477
63,도시근린공원_오남호수공원_655.jpg,observation tower,0.2504,trail,0.2489,observatory,0.2179
64,도시근린공원_옥정호수공원_660.jpg,festival,0.245,city park,0.2211,amusement park,0.2205
65,도시근린공원_옥정호수공원_661.jpg,korean palace,0.2324,festival,0.2322,amusement park,0.2139
66,도시근린공원_운정호수공원_635.jpg,city park,0.2643,korean palace,0.2552,botanical garden,0.2444
67,도시근린공원_운정호수공원_637.jpg,river,0.2569,city park,0.2457,observation tower,0.2246
68,도시근린공원_장자호수공원_641.jpg,street,0.2528,korean palace,0.2448,city park,0.2438
69,도시근린공원_장자호수공원_642.jpg,street,0.2366,city park,0.2197,harbor,0.2188
70,도시근린공원_장자호수공원_643.jpg,korean palace,0.2483,city park,0.2451,street,0.2409
71,도시근린공원_청라호수공원_1107.jpg,botanical garden,0.2558,city park,0.237,observation tower,0.2361
72,도시근린공원_청라호수공원_1108.jpg,harbor,0.2499,amusement park,0.2442,city park,0.24
73,도시근린공원_청라호수공원_1109.jpg,city park,0.2379,botanical garden,0.2362,observation tower,0.2326
74,도시근린공원_해오름호수공원_1110.jpg,city park,0.2449,river,0.2407,trail,0.2224
75,도시근린공원_해오름호수공원_1111.jpg,city park,0.2531,botanical garden,0.2386,river,0.2334
76,도시근린공원_해오름호수공원_1112.jpg,city park,0.2698,river,0.2628,botanical garden,0.247
77,등산정보_관악산 호수공원분기점_144.jpg,zoo,0.2042,amusement park,0.2015,trail,0.2
78,등산정보_관악산 호수공원분기점_145.jpg,trail,0.2385,zoo,0.2284,city park,0.2257
79,등산정보_관악산 호수공원분기점_146.jpg,trail,0.2434,observation tower,0.2237,forest,0.2155
80,디저트카페_동양염전베이커리카페_1080.jpg,department store,0.2267,harbor,0.2266,palace,0.219
81,디저트카페_동양염전베이커리카페_1081.jpg,korean palace,0.2418,bakery shop,0.2277,festival,0.2263
82,디저트카페_동양염전베이커리카페_1082.jpg,restaurant,0.2426,botanical garden,0.2308,gallery,0.2205
83,디저트카페_마롱브런치&베이커리카페_495.jpg,stage theater,0.2472,movie theater,0.2375,restaurant,0.236
84,디저트카페_마롱브런치&베이커리카페_496.jpg,korean palace,0.2583,department store,0.249,restaurant,0.2444
85,디저트카페_바다와풍경_490.jpg,korean palace,0.2434,festival,0.2146,forest,0.2137
86,디저트카페_바다와풍경_491.jpg,harbor,0.264,ocean coastline,0.2392,festival,0.2342
87,디저트카페_보스커피&브런치_12.jpg,restaurant,0.2338,pub,0.2113,traditional market,0.2084
88,디저트카페_브런치카페 이엘_1507.jpg,pub,0.2308,alley,0.2301,harbor,0.227
89,디저트카페_브룩스_1543.jpg,gallery,0.2255,waterfall,0.2207,fountain,0.2186
90,디저트카페_빠르끄 풍동본점_575.jpg,korean palace,0.2552,restaurant,0.2266,traditional market,0.2154
91,디저트카페_빠르끄 풍동본점_576.jpg,restaurant,0.2434,traditional market,0.2195,korean palace,0.2187
92,디저트카페_빠르끄 풍동본점_577.jpg,bakery shop,0.2193,restaurant,0.2097,pub,0.1994
93,디저트카페_스타골목커피_1397.jpg,amusement park,0.2372,korean palace,0.2343,festival,0.2326
94,디저트카페_스타골목커피_1398.jpg,festival,0.2554,amusement park,0.2515,korean palace,0.2415
95,디저트카페_스타골목커피_1399.jpg,forest,0.2418,botanical garden,0.2327,festival,0.2292
96,디저트카페_어로프슬라이스피스_551.jpg,bakery shop,0.2241,pub,0.1996,restaurant,0.1989
97,디저트카페_어로프슬라이스피스_552.jpg,restaurant,0.2464,bakery shop,0.241,traditional market,0.2394
98,디저트카페_어로프슬라이스피스_553.jpg,restaurant,0.2329,bakery shop,0.2255,pub,0.2232
99,디저트카페_에테르_1476.jpg,observation tower,0.2343,restaurant,0.22,ocean coastline,0.2128
100,디저트카페_우즈베이커리_1559.jpg,korean palace,0.2562,restaurant,0.2548,bakery shop,0.2344
101,디저트카페_우즈베이커리카페 수성호수점_1930.jpg,bakery shop,0.2962,traditional market,0.2278,department store,0.2215
102,디저트카페_우즈베이커리카페 수성호수점_1931.jpg,restaurant,0.2422,gallery,0.2339,department store,0.2328
103,디저트카페_이진상회_545.jpg,korean palace,0.2686,restaurant,0.2586,Buddhist temple,0.2554
104,디저트카페_이진상회_546.jpg,korean palace,0.2443,restaurant,0.24,Buddhist temple,0.2392
105,디저트카페_이진상회_547.jpg,korean palace,0.2676,botanical garden,0.2446,restaurant,0.2438
106,디저트카페_인스퍼레이션디 동촌유원지점_1950.jpg,bakery shop,0.2741,movie theater,0.244,restaurant,0.2369
107,디저트카페_인스퍼레이션디 동촌유원지점_1951.jpg,restaurant,0.2432,city park,0.2312,observation tower,0.2308
108,디저트카페_초이스엠_1944.jpg,department store,0.2515,bakery shop,0.2513,restaurant,0.2447
109,디저트카페_초이스엠_1945.jpg,bakery shop,0.2798,traditional market,0.2214,department store,0.2105
110,디저트카페_초이스엠_1946.jpg,department store,0.2517,stadium,0.2499,movie theater,0.2424
111,디저트카페_카페 레드브리끄_478.jpg,restaurant,0.2521,movie theater,0.2505,department store,0.2359
112,디저트카페_토지베이커리브런치카페_499.jpg,restaurant,0.2246,pub,0.1932,traditional market,0.1902
113,디저트카페_토지베이커리브런치카페_500.jpg,restaurant,0.244,pub,0.2227,korean palace,0.2188
114,디저트카페_포레스트아웃팅스 송도점_1062.jpg,department store,0.2576,botanical garden,0.2372,gallery,0.2237
115,디저트카페_포레스트아웃팅스 송도점_1063.jpg,forest,0.2675,korean palace,0.254,festival,0.236
116,디저트카페_프릳츠 도화점_52.jpg,restaurant,0.2614,korean palace,0.2479,pub,0.2378
117,디저트카페_프릳츠 도화점_53.jpg,korean palace,0.241,restaurant,0.2343,bakery shop,0.2227
118,디저트카페_프릳츠 도화점_54.jpg,zoo,0.2196,pub,0.2183,restaurant,0.2169
119,떡볶이_골목떡볶이_367.jpg,street,0.2421,korean palace,0.241,traditional market,0.2409
120,"릉,묘,총_김포장릉_790.jpg",trail,0.277,forest,0.2612,city park,0.2587
121,"릉,묘,총_동구릉_770.jpg",korean palace,0.2624,Buddhist temple,0.2538,fountain,0.2383
122,"릉,묘,총_동구릉_771.jpg",korean palace,0.2682,Buddhist temple,0.2522,traditional market,0.2397
123,"릉,묘,총_동구릉_772.jpg",korean palace,0.2488,Buddhist temple,0.2351,observation tower,0.2283
124,"릉,묘,총_서오릉_773.jpg",korean palace,0.3324,Buddhist temple,0.2746,stage theater,0.2505
125,"릉,묘,총_서오릉_774.jpg",Buddhist temple,0.2813,korean palace,0.2697,observation tower,0.2618
126,"릉,묘,총_서오릉_775.jpg",city park,0.2678,forest,0.265,trail,0.2642
127,"릉,묘,총_서울선릉과정릉_259.jpg",korean palace,0.2831,city park,0.2774,stadium,0.262
128,"릉,묘,총_서울선릉과정릉_260.jpg",street,0.2287,fountain,0.2222,gallery,0.2213
129,"릉,묘,총_서울선릉과정릉_261.jpg",city park,0.2615,botanical garden,0.2572,korean palace,0.2544
130,"릉,묘,총_연산동고분군_1710.jpg",korean palace,0.2573,city park,0.2472,botanical garden,0.235
131,"릉,묘,총_연산동고분군_1711.jpg",museum,0.2459,korean palace,0.2421,gallery,0.229
132,"릉,묘,총_연산동고분군_1712.jpg",korean palace,0.2505,forest,0.2374,Buddhist temple,0.2358
133,"릉,묘,총_영녕릉 세종대왕유적지구 세종대왕릉_786.jpg",korean palace,0.2281,stage theater,0.2152,forest,0.2146
134,"릉,묘,총_화성융릉과건릉_776.jpg",botanical garden,0.254,trail,0.2474,korean palace,0.2462
135,"릉,묘,총_화성융릉과건릉_777.jpg",museum,0.2591,korean palace,0.2453,gallery,0.242
136,"릉,묘,총_화성융릉과건릉_778.jpg",korean palace,0.279,museum,0.2455,gallery,0.2283
137,문_광화문_247.jpg,street,0.2208,department store,0.2106,korean palace,0.2038
138,문_광화문_248.jpg,korean palace,0.2495,street,0.212,traditional market,0.2076
139,문_광화문_249.jpg,fountain,0.2609,observation tower,0.2563,waterfall,0.244
140,문_금정산성 남문_1696.jpg,korean palace,0.3114,Buddhist temple,0.2583,observation tower,0.2425
141,문_독립문_270.jpg,korean palace,0.2494,city park,0.2465,observation tower,0.2432
142,문_독립문_271.jpg,stage theater,0.2445,korean palace,0.232,gallery,0.2303
143,문_독립문_272.jpg,korean palace,0.2988,palace,0.2568,traditional market,0.2543
144,문_수원화성 장안문_782.jpg,korean palace,0.2764,trail,0.2409,observation tower,0.237
145,문_수원화성 장안문_783.jpg,korean palace,0.3307,observation tower,0.2608,palace,0.2588
146,문_수원화성 장안문_784.jpg,korean palace,0.2671,amusement park,0.2557,festival,0.2339
147,문_수원화성 팔달문_794.jpg,korean palace,0.2665,traditional market,0.2455,street,0.2321
148,문_수원화성 팔달문_795.jpg,korean palace,0.2763,festival,0.2243,Buddhist temple,0.2222
149,문_수원화성 팔달문_796.jpg,korean palace,0.2896,traditional market,0.232,Buddhist temple,0.2297
150,문_숭례문_253.jpg,korean palace,0.2466,palace,0.2423,amusement park,0.2373
151,문_숭례문_254.jpg,city park,0.2526,fountain,0.2388,Buddhist temple,0.2294
152,문_숭례문_255.jpg,korean palace,0.3214,city park,0.3073,botanical garden,0.2761
153,문_홍예문_1262.jpg,alley,0.2203,trail,0.2146,korean palace,0.2123
154,문_홍예문_1264.jpg,alley,0.2431,botanical garden,0.2421,waterfall,0.2252
155,문_흥인지문_257.jpg,city park,0.2908,korean palace,0.2773,fountain,0.275
156,문_흥인지문_258.jpg,korean palace,0.2433,traditional market,0.2427,observation tower,0.2381
157,문화유적_고려궁지_1230.jpg,korean palace,0.3128,Buddhist temple,0.2859,palace,0.2468
158,문화유적_고려궁지_1231.jpg,Buddhist temple,0.2839,korean palace,0.2753,observation tower,0.2655
159,문화유적_고려궁지_1232.jpg,korean palace,0.2984,Buddhist temple,0.2794,traditional market,0.2469
160,문화유적_서울암사동유적_273.jpg,bakery shop,0.2802,traditional market,0.2502,restaurant,0.2286
161,문화유적_서울암사동유적_274.jpg,stage theater,0.2204,gallery,0.2071,pub,0.2009
162,문화유적_서울암사동유적_275.jpg,forest,0.2439,botanical garden,0.2323,korean palace,0.2288
163,문화유적_석파정_263.jpg,Buddhist temple,0.2382,museum,0.2315,restaurant,0.2223
164,문화유적_연미정_1226.jpg,korean palace,0.2497,observation tower,0.2348,botanical garden,0.2247
165,문화유적_외양포진지_1701.jpg,museum,0.2396,zoo,0.2315,gallery,0.2208
166,문화유적_외양포진지_1702.jpg,korean palace,0.2699,bakery shop,0.2476,amusement park,0.2461
167,문화유적_외양포진지_1703.jpg,korean palace,0.276,museum,0.2544,zoo,0.2297
168,문화유적_원인재_1247.jpg,korean palace,0.3201,Buddhist temple,0.2791,museum,0.2547
169,문화유적_원인재_1248.jpg,korean palace,0.2431,restaurant,0.2392,traditional market,0.2388
170,문화유적_원인재_1249.jpg,korean palace,0.3062,Buddhist temple,0.2799,palace,0.2405
171,문화유적_장수동 은행나무_1236.jpg,city park,0.2442,botanical garden,0.2285,gallery,0.211
172,문화유적_장수동 은행나무_1238.jpg,city park,0.236,observation tower,0.2304,botanical garden,0.2237
173,문화유적_정약용유적지_791.jpg,korean palace,0.274,amusement park,0.2401,city park,0.2378
174,문화유적_정약용유적지_792.jpg,korean palace,0.2561,Buddhist temple,0.2489,festival,0.2328
175,문화유적_정약용유적지_793.jpg,city park,0.2655,stadium,0.238,korean palace,0.2347
176,문화유적_충렬사_1680.jpg,korean palace,0.3421,Buddhist temple,0.294,palace,0.267
177,문화유적_충렬사_1681.jpg,korean palace,0.2661,Buddhist temple,0.2644,restaurant,0.2571
178,문화유적_충렬사_1682.jpg,korean palace,0.2974,Buddhist temple,0.2703,botanical garden,0.2421
179,문화유적_해월정_1700.jpg,zoo,0.2254,gallery,0.2248,street,0.2222
180,미술관_가나아트파크_696.jpg,city park,0.2259,zoo,0.2234,trail,0.2093
181,미술관_가나아트파크_697.jpg,gallery,0.222,museum,0.2169,korean palace,0.2155
182,미술관_가나아트파크_698.jpg,bakery shop,0.2635,restaurant,0.2516,museum,0.2459
183,미술관_간송미술관_190.jpg,Buddhist temple,0.2594,fountain,0.248,botanical garden,0.2369
184,미술관_간송미술관_191.jpg,fountain,0.271,observation tower,0.2683,Buddhist temple,0.2475
185,미술관_간송미술관_192.jpg,fountain,0.2656,observation tower,0.2622,Buddhist temple,0.2583
186,미술관_경기도미술관_683.jpg,harbor,0.2206,pub,0.2169,gallery,0.2134
187,미술관_경기도미술관_684.jpg,korean palace,0.2352,festival,0.2336,museum,0.2245
188,미술관_경기도미술관_685.jpg,gallery,0.2246,stage theater,0.2245,museum,0.219
189,미술관_경원미술관_1158.jpg,korean palace,0.2418,restaurant,0.2308,traditional market,0.2002
190,미술관_경원미술관_1159.jpg,korean palace,0.286,Buddhist temple,0.2758,restaurant,0.256
191,미술관_경원미술관_1160.jpg,department store,0.2634,movie theater,0.2441,bakery shop,0.2426
192,미술관_고은사진미술관_1608.jpg,museum,0.2471,gallery,0.2383,korean palace,0.2345
193,미술관_고은사진미술관_1609.jpg,street,0.2301,department store,0.2222,gallery,0.2187
194,미술관_고은사진미술관_1610.jpg,gallery,0.2532,museum,0.2325,stage theater,0.2151
195,미술관_구하우스미술관_689.jpg,zoo,0.2164,gallery,0.2066,museum,0.2049
196,미술관_국립현대미술관 과천_673.jpg,museum,0.2621,observatory,0.2434,stage theater,0.2403
197,미술관_국립현대미술관 서울_156.jpg,korean palace,0.2622,museum,0.2591,stadium,0.2537
198,미술관_국제갤러리 부산지점_1635.jpg,festival,0.2679,korean palace,0.2393,museum,0.2107
199,미술관_국제갤러리 부산지점_1636.jpg,gallery,0.2789,museum,0.2446,korean palace,0.2165
200,미술관_국제갤러리 부산지점_1637.jpg,observation tower,0.2485,korean palace,0.2463,department store,0.2382
201,미술관_금련산갤러리_1638.jpg,korean palace,0.2337,trail,0.2255,festival,0.224
202,미술관_금련산갤러리_1639.jpg,korean palace,0.2387,gallery,0.2177,museum,0.2088
203,미술관_금련산갤러리_1640.jpg,gallery,0.2177,observation tower,0.2077,trail,0.2014
204,미술관_금정문화회관 금샘미술관_1620.jpg,festival,0.2161,korean palace,0.2156,gallery,0.1988
205,미술관_금정문화회관 금샘미술관_1621.jpg,korean palace,0.2325,gallery,0.2257,museum,0.21
206,미술관_금정문화회관 금샘미술관_1622.jpg,korean palace,0.2357,festival,0.2252,museum,0.2211
207,미술관_김홍도미술관_705.jpg,korean palace,0.2468,palace,0.2272,festival,0.2266
208,미술관_김홍도미술관_706.jpg,restaurant,0.2451,bakery shop,0.2365,pub,0.2354
209,미술관_대구간송미술관_1995.jpg,Buddhist temple,0.2377,korean palace,0.2342,restaurant,0.2326
210,미술관_대구간송미술관_1996.jpg,korean palace,0.2269,trail,0.2151,stage theater,0.2145
211,미술관_대구간송미술관_1997.jpg,korean palace,0.2714,observation tower,0.2416,stadium,0.2362
212,미술관_대구미술관_1992.jpg,gallery,0.2516,museum,0.2489,department store,0.2222
213,미술관_대구미술관_1993.jpg,gallery,0.2462,museum,0.2273,observation tower,0.201
214,미술관_대구미술관_1994.jpg,gallery,0.2767,museum,0.2557,korean palace,0.229
215,미술관_대림미술관_188.jpg,gallery,0.2704,museum,0.2447,korean palace,0.2374
216,미술관_대림미술관_189.jpg,gallery,0.2323,korean palace,0.2237,museum,0.2197
217,미술관_더리미미술관_1144.jpg,restaurant,0.2407,gallery,0.23,movie theater,0.2289
218,미술관_더리미미술관_1145.jpg,gallery,0.264,museum,0.2453,korean palace,0.2129
219,미술관_디뮤지엄_181.jpg,gallery,0.2129,festival,0.2028,observatory,0.2019
220,미술관_랄프깁슨 사진미술관_1629.jpg,gallery,0.2166,observation tower,0.2106,department store,0.2073
221,미술관_리움미술관_150.jpg,stage theater,0.242,gallery,0.2419,museum,0.2275
222,미술관_리움미술관_152.jpg,museum,0.252,gallery,0.2406,korean palace,0.2333
223,미술관_뮤지엄원_1615.jpg,palace,0.2246,gallery,0.2216,museum,0.221
224,미술관_뮤지엄원_1616.jpg,korean palace,0.2403,trail,0.2249,gallery,0.2244
225,미술관_미메시스아트뮤지엄_679.jpg,gallery,0.2617,museum,0.2581,korean palace,0.2269
226,미술관_부산시립미술관 (휴관중)_1605.jpg,gallery,0.2481,korean palace,0.2418,museum,0.2403
227,미술관_부산시립미술관 이우환공간_1623.jpg,korean palace,0.2659,museum,0.258,palace,0.2552
228,미술관_부산시립미술관 이우환공간_1624.jpg,city park,0.2518,fountain,0.2453,korean palace,0.2433
229,미술관_부산시립미술관 이우환공간_1625.jpg,gallery,0.2334,fountain,0.2283,waterfall,0.2203
230,미술관_부산현대미술관_1611.jpg,traditional market,0.1762,pub,0.1745,gallery,0.1729
231,미술관_부산현대미술관_1612.jpg,museum,0.2258,stadium,0.2202,movie theater,0.2178
232,미술관_부평아트센터 꽃누리갤러리_1153.jpg,korean palace,0.2467,gallery,0.2367,museum,0.2281
233,미술관_서면미술관_1617.jpg,korean palace,0.215,gallery,0.2128,observatory,0.2114
234,미술관_서면미술관_1618.jpg,observatory,0.2145,korean palace,0.2144,gallery,0.2104
235,미술관_서울시립 북서울미술관_179.jpg,festival,0.2236,stage theater,0.2137,korean palace,0.2135
236,미술관_서울시립 북서울미술관_180.jpg,museum,0.2439,gallery,0.2359,korean palace,0.2208
237,미술관_서울시립 사진미술관_193.jpg,korean palace,0.3088,museum,0.281,stage theater,0.2756
238,미술관_서울시립 사진미술관_194.jpg,korean palace,0.2261,stage theater,0.2167,festival,0.2136
239,미술관_서울시립 사진미술관_195.jpg,gallery,0.2661,museum,0.258,korean palace,0.2204
240,미술관_서울시립미술관 서소문본관_159.jpg,palace,0.2284,department store,0.2166,stadium,0.213
241,미술관_서울시립미술관 서소문본관_160.jpg,gallery,0.2679,museum,0.2639,korean palace,0.2252
242,미술관_서울시립미술관 서소문본관_161.jpg,gallery,0.2679,museum,0.2639,korean palace,0.2252
243,미술관_서울시립미술관 서소문본관_162.jpg,korean palace,0.2238,festival,0.2087,stage theater,0.205
244,미술관_석모도갤러리_1168.jpg,korean palace,0.2353,restaurant,0.2186,traditional market,0.2076
245,미술관_석파정 서울미술관_169.jpg,korean palace,0.2391,forest,0.2363,festival,0.2346
246,미술관_석파정 서울미술관_170.jpg,restaurant,0.2459,museum,0.2429,traditional market,0.242
247,미술관_석파정 서울미술관_171.jpg,korean palace,0.2505,museum,0.2382,gallery,0.2373
248,미술관_성남큐브미술관_701.jpg,gallery,0.2203,museum,0.215,observatory,0.2058
249,미술관_송암미술관_1135.jpg,Buddhist temple,0.2672,museum,0.2419,gallery,0.2271
250,미술관_송암미술관_1136.jpg,korean palace,0.2975,fountain,0.2695,city park,0.2649
251,미술관_수원시립미술관_674.jpg,korean palace,0.2911,amusement park,0.2593,museum,0.2489
252,미술관_수원시립미술관_675.jpg,korean palace,0.2566,city park,0.2489,river,0.2388
253,미술관_수원시립미술관_676.jpg,museum,0.2466,gallery,0.2399,fountain,0.2342
254,미술관_스페인마을 갤러리_1151.jpg,festival,0.2221,korean palace,0.22,harbor,0.2178
255,미술관_아모레퍼시픽미술관_175.jpg,gallery,0.2267,museum,0.2233,department store,0.2227
256,미술관_아트KMJ갤러리_1170.jpg,korean palace,0.2554,gallery,0.2276,observation tower,0.2202
257,미술관_양주시립장욱진미술관_680.jpg,observation tower,0.237,Buddhist temple,0.2332,festival,0.2312
258,미술관_양주시립장욱진미술관_681.jpg,observation tower,0.2624,trail,0.2415,city park,0.2261
259,미술관_양주시립장욱진미술관_682.jpg,korean palace,0.2632,museum,0.2553,Buddhist temple,0.2447
260,미술관_양평군립미술관_693.jpg,amusement park,0.2219,korean palace,0.2104,museum,0.1961
261,미술관_양평군립미술관_694.jpg,harbor,0.2442,gallery,0.2371,river,0.2277
262,미술관_양평군립미술관_695.jpg,gallery,0.2851,museum,0.2379,traditional market,0.2092
263,미술관_예술의전당 한가람미술관_164.jpg,korean palace,0.2376,traditional market,0.2228,gallery,0.2198
264,미술관_예술의전당 한가람미술관_165.jpg,korean palace,0.2324,stadium,0.2117,gallery,0.2109
265,미술관_오산시립미술관_708.jpg,korean palace,0.2672,museum,0.2573,department store,0.2555
266,미술관_오산시립미술관_710.jpg,gallery,0.2588,museum,0.2457,bakery shop,0.2311
267,미술관_우현문갤러리_1161.jpg,stage theater,0.2404,gallery,0.2369,museum,0.235
268,미술관_우현문갤러리_1162.jpg,gallery,0.2437,museum,0.2245,korean palace,0.216
269,미술관_우현문갤러리_1163.jpg,gallery,0.2585,museum,0.2322,observatory,0.2022
270,미술관_유리섬_686.jpg,museum,0.2489,gallery,0.2474,stage theater,0.2358
271,미술관_유리섬_687.jpg,korean palace,0.2453,bakery shop,0.2375,festival,0.2268
272,미술관_유리섬_688.jpg,gallery,0.2494,museum,0.2346,stage theater,0.2207
273,미술관_전원미술관_1173.jpg,korean palace,0.2504,street,0.2317,bakery shop,0.2291
274,미술관_전원미술관_1174.jpg,korean palace,0.2607,bakery shop,0.2479,restaurant,0.2477
275,미술관_전원미술관_1175.jpg,korean palace,0.2605,bakery shop,0.253,restaurant,0.2522
276,미술관_정서진아트큐브_1155.jpg,palace,0.2156,festival,0.2061,stage theater,0.2057
277,미술관_정서진아트큐브_1156.jpg,korean palace,0.2719,gallery,0.2203,festival,0.2194
278,미술관_참살이미술관_1146.jpg,traditional market,0.2235,gallery,0.2199,festival,0.2129
